"Date","Price","Open","High","Low","Vol.","Change %"
"12/20/2012","936.32","939.73","939.73","928.20","1.99B","-0.61%"
"12/19/2012","942.04","950.02","950.62","936.86","2.21B","-0.70%"
"12/18/2012","948.65","952.67","954.77","941.45","2.00B","-0.30%"
"12/17/2012","951.50","949.08","954.02","945.70","1.85B","0.15%"
"12/14/2012","950.03","953.73","953.73","943.59","1.56B","-0.38%"
"12/13/2012","953.68","955.88","957.19","948.47","3.35B","-0.41%"
"12/12/2012","957.65","952.36","958.41","950.07","3.09B","0.65%"
"12/11/2012","951.45","947.17","954.12","945.28","2.33B","0.41%"
"12/10/2012","947.57","945.12","951.67","941.71","2.22B","0.40%"
"12/07/2012","943.83","942.59","945.67","938.73","2.26B","-0.06%"
"12/06/2012","944.37","946.32","948.75","942.31","2.93B","0.06%"
"12/05/2012","943.78","938.24","944.71","935.82","2.49B","0.39%"
"12/04/2012","940.08","944.33","945.16","934.92","2.04B","-1.05%"
"12/03/2012","950.01","942.00","950.48","939.31","2.06B","0.88%"
"11/30/2012","941.71","952.56","954.88","936.99","3.10B","-1.32%"
"11/29/2012","954.32","954.03","955.45","946.33","1.90B","0.44%"
"11/28/2012","950.17","955.13","955.50","941.28","2.32B","-0.97%"
"11/27/2012","959.47","969.01","971.67","958.50","2.66B","-1.01%"
"11/26/2012","969.27","963.45","969.93","962.76","2.33B","0.72%"
"11/23/2012","962.33","959.20","963.41","956.66","1.64B","0.30%"
"11/22/2012","959.49","952.47","960.67","952.47","1.81B","0.48%"
"11/21/2012","954.94","955.84","956.19","949.85","1.68B","-0.04%"
"11/20/2012","955.33","960.05","964.43","950.04","2.01B","-0.05%"
"11/19/2012","955.83","963.33","963.74","951.25","1.95B","-1.04%"
"11/14/2012","965.86","963.28","969.15","958.77","2.43B","0.46%"
"11/13/2012","961.45","959.40","963.48","958.41","2.19B","0.27%"
"11/12/2012","958.86","961.38","964.07","957.18","1.32B","-0.39%"
"11/09/2012","962.63","956.31","962.63","954.62","1.47B","0.13%"
"11/08/2012","961.42","957.29","961.42","952.15","1.66B","-0.64%"
"11/07/2012","967.66","959.39","967.71","958.50","1.90B","1.05%"
"11/06/2012","957.57","955.59","958.28","952.31","1.82B","0.28%"
"11/05/2012","954.86","960.99","961.83","950.77","1.59B","-0.95%"
"11/02/2012","964.05","964.54","966.05","960.37","2.09B","0.06%"
"11/01/2012","963.48","962.41","963.82","954.66","2.89B","-0.42%"
"10/31/2012","967.54","970.12","971.46","960.97","3.14B","-0.45%"
"10/30/2012","971.90","964.15","972.56","963.10","3.42B","0.80%"
"10/29/2012","964.22","963.11","966.88","959.38","2.55B","-0.17%"
"10/25/2012","965.83","965.60","967.89","962.24","3.14B","0.09%"
"10/24/2012","965.00","961.38","967.27","958.71","2.03B","0.10%"
"10/23/2012","964.04","967.94","970.89","959.94","2.28B","-0.35%"
"10/22/2012","967.45","959.85","967.63","957.37","2.13B","0.25%"
"10/19/2012","965.05","972.71","973.21","963.03","2.17B","-0.71%"
"10/18/2012","971.97","970.48","973.60","967.75","2.82B","0.45%"
"10/17/2012","967.63","968.26","972.05","962.70","2.84B","0.22%"
"10/16/2012","965.49","963.29","965.70","958.80","2.33B","0.43%"
"10/15/2012","961.32","960.67","962.65","956.41","2.26B","-0.01%"
"10/12/2012","961.39","956.95","962.99","956.72","3.74B","0.74%"
"10/11/2012","954.30","950.08","954.30","948.25","3.08B","0.12%"
"10/10/2012","953.19","948.57","953.93","944.30","2.02B","-0.01%"
"10/09/2012","953.30","951.52","956.43","949.06","1.97B","0.32%"
"10/08/2012","950.27","959.31","962.75","942.98","2.13B","-0.92%"
"10/05/2012","959.07","952.71","962.20","952.60","2.04B","1.04%"
"10/04/2012","949.22","943.88","949.92","941.93","1.69B","0.70%"
"10/03/2012","942.65","947.26","947.26","939.77","2.50B","-0.17%"
"10/02/2012","944.22","941.53","946.39","940.19","2.38B","0.56%"
"10/01/2012","938.98","941.53","941.53","933.05","2.00B","-0.65%"
